Date,ISIN,Scrip Code, Scrip Name,MWPL,Open Interest
11-01-2024,INE545U01014,541153,BANDHANBNK,193356582,176630000
11-01-2024,INE257A01026,500103,BHEL,256482590,253144500
11-01-2024,INE124G01033,532848,DELTACORP,35744131,35466000
11-01-2024,INE042A01014,500495,ESCORTS,6726893,5739800
11-01-2024,INE531E01026,513599,HINDCOPPER,65482129,64962100
11-01-2024,INE383A01012,530005,INDIACEM,44362911,38239400
11-01-2024,INE121J01017,534816,INDUSTOWER,167026256,149015200
11-01-2024,INE139A01034,532234,NATIONALUM,178967755,148995000
11-01-2024,INE140A01024,500302,PEL,23951791,20102250
11-01-2024,INE455K01017,542652,POLYCAB,10228835,16896600
11-01-2024,INE191H01014,532689,PVR,14160340,13332913
11-01-2024,INE114A01011,500113,SAIL,289139949,239944000
11-01-2024,INE256A01028,505537,ZEEL,184440627,189921000
