New Entries:
+-------------------------------------+-------------------------------------+----------------------+
| Company Name                        | ISIN                                | Exchange             |
+-------------------------------------+-------------------------------------+----------------------+
| Blue Coast Hotels Limited           | INE472B01011                        | BSE                  |
+-------------------------------------+-------------------------------------+----------------------+
Changes in ISIN:
+-------------------------------------+-------------------------------------+----------------------+
| Company Name                        | Old ISIN                            | New ISIN             |
+-------------------------------------+-------------------------------------+----------------------+
| Kaushalya Infrastructure Development Corporation Limited | INE234I01010                        | INE234I01028         |
| Dolphin Offshore Enterprises (India) Limited | INE920A01029                        | INE920A01037         |
| Talbros Automotive Components Limited | INE187D01011                        | INE187D01029         |
| STANDARD CAPITAL MARKETS LTD.       | INE625D01010                        | INE625D01028         |
| Atal Realtech Limited               | INE0ALR01011                        | INE0ALR01029         |
| Franklin Industries Limited         | INE789R01014                        | INE789R01022         |
| Pearl Global Industries Limited     | INE940H01014                        | INE940H01022         |
| Shaily Engineering Plastics Limited | INE151G01010                        | INE151G01028         |
| Trishakti Industries Limited        | INE238C01014                        | INE238C01022         |
| Bcl Industries Limited              | INE412G01016                        | INE412G01024         |
| Teamo Productions HQ Limited        | INE065J01016                        | INE065J01024         |
| 7NR Retail Limited                  | INE413X01027                        | INE413X01035         |
| Cantabil Retail India Limited       | INE068L01016                        | INE068L01024         |
| Pearl Global Industries Limited     | INE940H01014                        | INE940H01022         |
| GROWINGTON VENTURES INDIA LIMI      | INE451S01019                        | INE451S01027         |
| Alan Scott Industries Ltd.          | IN9273F01012                        | IN9273F01020         |
| MAAGH ADVERTISING AND MARKETIN      | INE0KY201013                        | INE0KY201021         |
| Jay Bharat Maruti Limited           | INE571B01028                        | INE571B01036         |
| HMA Agro Industries Limited         | INE0ECP01016                        | INE0ECP01024         |
| AVANCE TECHNOLOGIES LTD.            | INE758A01064                        | INE758A01072         |
| Shashijit Infraprojects Limite      | INE700V01013                        | INE700V01021         |
| M K Proteins Limited                | INE964W01013                        | INE964W01021         |
| HP Adhesives Limited                | INE0GSL01016                        | INE0GSL01024         |
| Cochin Shipyard Limited             | INE704P01017                        | INE704P01025         |
| Nestle India Limited                | INE239A01016                        | INE239A01024         |
| Geekay Wires Limited                | INE669X01016                        | INE669X01024         |
| Hindcon Chemicals Limited           | INE642Y01011                        | INE642Y01029         |
| Mittal Life Style Limited           | INE997Y01019                        | INE997Y01027         |
+-------------------------------------+-------------------------------------+----------------------+
Changes in BSE Group:
+-------------------------------------+-------------------------------------+----------------------+
| Company Name                        | Old GroupName                       | New GroupName        |
+-------------------------------------+-------------------------------------+----------------------+
| OMNI AXS SOFTWARE LTD.              | XT                                  | X                    |
| EPSOM PROPERTIES LTD.               | X                                   | XT                   |
| Kirloskar Brothers Limited          | B                                   | A                    |
| Man Industries (India) Limited      | B                                   | T                    |
| Paramount Communications Limited    | T                                   | B                    |
| Gokul Refoils and Solvent Limited   | B                                   | T                    |
| PERFECT-OCTAVE MEDIA PROJECTS       | X                                   | XT                   |
| FGP LTD.                            | XT                                  | X                    |
| K.Z.LEASING & FINANCE LTD.          | XT                                  | X                    |
| Shree Securities Ltd.               | XT                                  | X                    |
| Indbank Merchant Banking Services Limited | T                                   | B                    |
| GLOBAL CAPITAL MARKETS LTD.         | XT                                  | X                    |
| GAGAN GASES LTD.                    | X                                   | XT                   |
| BLB Limited                         | B                                   | T                    |
| KAY POWER AND PAPER LTD.            | X                                   | XT                   |
| Wonder Electricals Limited          | T                                   | B                    |
| ISHAAN INFRASTRUCTURE AND SHEL      | XT                                  | X                    |
| Sarveshwar Foods Limited            | T                                   | B                    |
| Roopshri Resorts Limited            | M                                   | MT                   |
| Raj Television Network Limited      | B                                   | T                    |
| Murudeshwar Ceramics Limited        | B                                   | T                    |
| Naturite Agro Products Limited      | XT                                  | X                    |
| R. S. Software (India) Limited      | T                                   | B                    |
| Shoora Designs Limited              | M                                   | MT                   |
| Beekay Steel Industries Ltd.        | X                                   | B                    |
| Kamdhenu Ventures Limited           | T                                   | B                    |
| GlobalSpace Technologies Limit      | B                                   | T                    |
| FERVENT SYNERGIES LTD.              | X                                   | XT                   |
| Mcleod Russel India Limited         | T                                   | B                    |
| Mercantile Ventures Limited         | X                                   | XT                   |
| UNJHA FORMULATIONS LTD.             | XT                                  | X                    |
| Landmark Property Development Company Limited | T                                   | B                    |
| Synergy Green Industries Limited    | T                                   | B                    |
| HINDUSTAN TIN WORKS LTD.            | X                                   | XT                   |
| PNGS GARGI FASHION JEWELLERY L      | M                                   | MT                   |
| O. P. Chains Limited                | M                                   | MT                   |
| Vishal Bearings Limited             | T                                   | B                    |
| BDH INDUSTRIES LTD.                 | XT                                  | X                    |
| AVANTEL LTD.                        | X                                   | B                    |
| PHAARMASIA LTD.                     | XT                                  | X                    |
| Humming Bird Education Limited      | M                                   | MT                   |
| Visagar Polytex Limited             | B                                   | T                    |
| BHILWARA SPINNERS LTD.              | XT                                  | X                    |
| Kome-on Communication Limited       | XT                                  | Z                    |
| GTL Infrastructure Limited          | A                                   | B                    |
| PRATIKSHA CHEMICALS LTD.            | X                                   | XT                   |
| BLOOM INDUSTRIES LTD.               | X                                   | XT                   |
| HIL Limited                         | A                                   | B                    |
| Virinchi Limited                    | T                                   | B                    |
| CITADEL REALTY AND DEVELOPERS       | XT                                  | X                    |
| CUBICAL FINANCIAL SERVICES LTD      | X                                   | XT                   |
| LLOYDS ENGINEERING WORKS LIMITED    | T                                   | A                    |
| CRANES SOFTWARE INTERNATIONAL       | XT                                  | Z                    |
