DR,686/2324,01-Jan-2024,01-Jan-2024,02-Jan-2024,02-Jan-2024,02-Jan-2024,02-Jan-2024,02-Jan-2024,,1
RA,686/2324,02-Jan-2024,02-Jan-2024,03-Jan-2024,03-Jan-2024,03-Jan-2024,03-Jan-2024,02-Jan-2024,,
DR,687/2324,02-Jan-2024,02-Jan-2024,03-Jan-2024,03-Jan-2024,03-Jan-2024,03-Jan-2024,03-Jan-2024,,1
RA,687/2324,03-Jan-2024,03-Jan-2024,04-Jan-2024,04-Jan-2024,04-Jan-2024,04-Jan-2024,03-Jan-2024,,
DR,688/2324,03-Jan-2024,03-Jan-2024,04-Jan-2024,04-Jan-2024,04-Jan-2024,04-Jan-2024,04-Jan-2024,,1
RA,688/2324,04-Jan-2024,04-Jan-2024,05-Jan-2024,05-Jan-2024,05-Jan-2024,05-Jan-2024,04-Jan-2024,,
DR,689/2324,04-Jan-2024,04-Jan-2024,05-Jan-2024,05-Jan-2024,05-Jan-2024,05-Jan-2024,05-Jan-2024,,1
RA,689/2324,05-Jan-2024,05-Jan-2024,08-Jan-2024,08-Jan-2024,08-Jan-2024,08-Jan-2024,05-Jan-2024,,
DR,690/2324,05-Jan-2024,05-Jan-2024,08-Jan-2024,08-Jan-2024,08-Jan-2024,08-Jan-2024,08-Jan-2024,,1
RA,690/2324,08-Jan-2024,08-Jan-2024,09-Jan-2024,09-Jan-2024,09-Jan-2024,09-Jan-2024,08-Jan-2024,,
DR,691/2324,08-Jan-2024,08-Jan-2024,09-Jan-2024,09-Jan-2024,09-Jan-2024,09-Jan-2024,09-Jan-2024,,1
RA,691/2324,09-Jan-2024,09-Jan-2024,10-Jan-2024,10-Jan-2024,10-Jan-2024,10-Jan-2024,09-Jan-2024,,
DR,692/2324,09-Jan-2024,09-Jan-2024,10-Jan-2024,10-Jan-2024,10-Jan-2024,10-Jan-2024,10-Jan-2024,,1
RA,692/2324,10-Jan-2024,10-Jan-2024,11-Jan-2024,11-Jan-2024,11-Jan-2024,11-Jan-2024,10-Jan-2024,,
DR,693/2324,10-Jan-2024,10-Jan-2024,11-Jan-2024,11-Jan-2024,11-Jan-2024,11-Jan-2024,11-Jan-2024,,1
RA,693/2324,11-Jan-2024,11-Jan-2024,12-Jan-2024,12-Jan-2024,12-Jan-2024,12-Jan-2024,11-Jan-2024,,
DR,694/2324,11-Jan-2024,11-Jan-2024,12-Jan-2024,12-Jan-2024,12-Jan-2024,12-Jan-2024,12-Jan-2024,,1
RA,694/2324,12-Jan-2024,12-Jan-2024,15-Jan-2024,15-Jan-2024,15-Jan-2024,15-Jan-2024,12-Jan-2024,,
DR,695/2324,12-Jan-2024,12-Jan-2024,15-Jan-2024,15-Jan-2024,15-Jan-2024,15-Jan-2024,15-Jan-2024,,1
RA,695/2324,15-Jan-2024,15-Jan-2024,16-Jan-2024,16-Jan-2024,16-Jan-2024,16-Jan-2024,15-Jan-2024,,
DR,696/2324,15-Jan-2024,15-Jan-2024,16-Jan-2024,16-Jan-2024,16-Jan-2024,16-Jan-2024,16-Jan-2024,,1
RA,696/2324,16-Jan-2024,16-Jan-2024,17-Jan-2024,17-Jan-2024,17-Jan-2024,17-Jan-2024,16-Jan-2024,,
DR,697/2324,16-Jan-2024,16-Jan-2024,17-Jan-2024,17-Jan-2024,17-Jan-2024,17-Jan-2024,17-Jan-2024,,1
RA,697/2324,17-Jan-2024,17-Jan-2024,18-Jan-2024,18-Jan-2024,18-Jan-2024,18-Jan-2024,17-Jan-2024,,
