ScripCode,ScripId,BSE Exclusive,Status,GroupName,GSM,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Unsolicited_SMS,Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Filler4,Filler5,Pledge,Add-on_PB,Total Pledge,Social Media Platforms,ESM,Loss making,The Overall encumbered share in the scrip is more than 50 Percent.,Under Z Group,Company has failed to pay Annual listing fee,Filler12,Derivative contracts in the scrip to be moved out of F and O,Filler13,Filler14,Filler15,Filler16
780021,LEGACY,Y,S,Z,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780019,JIGYASA,Y,S,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780018,ADHIRAJ,Y,A,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
780017,PSAL,Y,S,Z,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780016,WEBSL,Y,A,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
780015,SANASATECH,Y,S,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780014,HASJUICE,Y,A,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
780013,CITYON,Y,S,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780012,GOKULSOL,Y,S,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780009,MCL,Y,S,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780008,SUPERNOVA,Y,S,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780006,DEKSON,Y,S,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
780004,AUTUMN,Y,S,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780003,KKIL,Y,S,Z,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780002,GSL,Y,S,Z,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
780001,JDL,Y,S,IP,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,0,,100,,,,
590134,MADRASFERT,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590086,ORISSAMINE,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590078,MAITHANALL,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590075,LAMBODHARA,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590073,WHEELS,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590072,SUNDRMBRAK,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590071,SUNDARMFIN,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590070,RADAAN,N,S,T,3,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590068,KHAITANLTD,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590066,KCP,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590065,IMPAL,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590063,DUNCANSLTD,N,S,Z,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,0,100,,100,,,,
590062,ANDHRSUGAR,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590057,EQUIPPP,N,A,T,0,100,100,0,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590056,SALONA,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590051,SAKSOFT,N,A,B,100,3,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590041,KAVVERITEL,N,A,T,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
590038,VISUINTL,N,S,Z,6,100,100,100,100,100,100,,,100,100,100,100,100,100,100,0,0,,100,,,,
590031,DENORA,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590030,SPIC,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590028,NICCO,Y,S,XT,6,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590025,GINNIFILA,N,A,B,100,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590024,FACT,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590022,EASTSILK,N,A,T,2,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590021,BHARATRAS,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590018,HISARMETAL,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590013,XPROINDIA,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590006,AMRUTANJAN,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590005,TIDEWATER,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
590003,KARURVYSYA,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
570005,GATECHDVR,N,A,T,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
570004,JISLDVREQS,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
570002,FELDVR,N,A,T,100,100,100,0,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
570001,TATAMTRDVR,N,A,A,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544124,VSTL,N,A,T,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544122,ENTERO,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544121,RUDRAGAS,Y,A,MT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544120,CAPITALSFB,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544119,RPTECH,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544118,JSFB,N,A,B,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544117,SIGNPOST,N,A,T,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544112,JGTL,Y,A,T,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544111,PARKHOTELS,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544108,GPSL,Y,A,M,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544107,BLSE,N,A,B,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544106,MCFL,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544105,HARSHDEEP,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544101,BRISK,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544100,NOVAAGRI,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544095,EPACK,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544094,EUPHORIAIT,Y,A,M,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544091,QLL,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544090,SHPLPUNE,Y,A,T,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
544088,MEDIASSIST,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544083,SHREE,Y,A,M,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544082,SWANAGRO,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544081,JYOTICNC,N,A,B,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544080,SHILINDORE,Y,A,T,100,100,100,100,100,100,100,,,100,100,100,100,2,100,100,100,100,,100,,,,
544079,DIGIDRIVE,N,A,T,100,100,100,100,100,100,100,,,100,100,100,100,1,100,100,100,100,,100,,,,
544074,SBVCL,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544073,MCPL,Y,A,M,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544072,AIKPIPES,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544067,INNOVACAP,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544066,SUNCLAY,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544061,AZAD,N,A,B,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544060,RBZJEWEL,N,A,B,100,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544059,SHANTIDENM,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544058,MUFTI,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544057,HAPPYFORGE,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544056,SMARITIME,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544055,MUTHOOTMF,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544054,SURAJEST,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544053,MOTISONS,N,A,B,100,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544052,BENCHMARK,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544047,SIYARAM,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544046,INOXINDIA,N,A,B,100,100,100,100,1,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544045,DOMS,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544044,INDIASHLTR,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544042,BAJEL,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544037,AMIC,Y,A,MT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544036,DEEPAKCHEM,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544035,SPL,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544030,FLAIR,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544029,GANDHAR,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544028,TATATECH,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544027,FEDFINA,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544026,IREDA,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544025,ARROWHEAD,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544024,ATUL7,N,S,T,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544023,KALYANI,Y,A,MT,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544022,ASKAUTOLTD,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544021,PROTEAN,Y,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544020,ESAFSFB,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544015,MISHDESIGN,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544014,HONASA,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544013,KKSHL,Y,A,M,100,1,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544012,CELLO,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544011,VPL,Y,A,M,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544009,BLUEJET,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544008,MAXESTATES,N,A,B,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
544005,ISCITRUST,Y,A,IF,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,100,100,,100,,,,
